"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ilda_talk: Mar is already losing his cool. He is pikon. Duterte is just trolling him. Pikon talo. He's not presidential. #PiliPinasDeba…",FALSE,0,NA,2016-04-25 12:49:45,FALSE,NA,"724581160756625408",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kenMbaltazar",639,TRUE,FALSE,NA,NA
"2","https://t.co/0EFHVdUlqB

I agree, we don't need a joker!
#pilipinasdebates2016
#notoduterte
#halalan2016
#phvote",FALSE,0,NA,2016-04-25 12:49:08,FALSE,NA,"724581007622434816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","suan_efren",0,FALSE,FALSE,NA,NA
"3","RT @reighnism: READ THIS! Bias media at its best.
#PiliPinasDebates2016 #ABiasCBN https://t.co/zRDw1HbUmz",FALSE,0,NA,2016-04-25 12:49:07,FALSE,NA,"724581003558281216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","markjasonlee",296,TRUE,FALSE,NA,NA
"4","RT @dreturnofdjedi: Now, people know how biased ABS-CBN is. #ABSCBNSENSELESSNEWS #PiliPinasDebates2016",FALSE,0,NA,2016-04-25 12:49:07,FALSE,NA,"724581003235192832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","poniesandthorns",66,TRUE,FALSE,NA,NA
"5","RT @IrishDDizon: We got this. MIRIAM DEFENSOR SANTIAGO. KAKAIBABE PRESIDENT 2016. <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #PiliPinasDebates2016 https://t.co/J56WaPKo8x",FALSE,0,NA,2016-04-25 12:49:03,FALSE,NA,"724580982959951872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bangsieness",98,TRUE,FALSE,NA,NA
"6","RT @Perryyy23: me: ma, gala ako

ma: stop! tigilan mo ako!

me: i will never stop. i will never quit. i will never withdraw.

#PiliPinasDeb…",FALSE,0,NA,2016-04-25 12:49:02,FALSE,NA,"724580981240303616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","teresshaaaXD",320,TRUE,FALSE,NA,NA
"7","""Hindi ko babaan. Tatanggalin ko ang income tax."" -JB(inay) #PiliPinasDebates2016",FALSE,0,NA,2016-04-25 12:49:01,FALSE,NA,"724580978258141184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Store304",0,FALSE,FALSE,NA,NA
"8","Pumapatay ka ng maraming pilipino tapos magiging hero ka? #pilipinasdebates2016 #phvote #halalan2016 #notoduterte",FALSE,0,NA,2016-04-25 12:49:01,FALSE,NA,"724580975854780416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","k_gaguan",0,FALSE,FALSE,NA,NA
"9","""Anong papel ng iyong asawa sa iyong administration?""
""Nandon siya sa bahay pag uwi ko."" 
Dang, girl!!

 #PiliPinasDebates2016 #Halalan2016",FALSE,0,NA,2016-04-25 12:48:59,FALSE,NA,"724580966551805952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","franzizzzle",0,FALSE,FALSE,NA,NA
"10","RT @HalamansOfMnl: Pag palapit na sa'yo si binay, para makipageye to eye contact... #PiliPinasDebates2016 <ed><U+00A0><U+00BC><ed><U+00BC><U+00B5><ed><U+00A0><U+00BC><ed><U+00BC><U+00B1> https://t.co/Yy5cAQuxyW",FALSE,0,NA,2016-04-25 12:48:56,FALSE,NA,"724580955046838272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rccherrera",296,TRUE,FALSE,NA,NA
"11","RT @fallbws: We all have that one friend na laging kinikilig for us. #PiliPinasDebates2016 https://t.co/7tbrKHlvkH",FALSE,0,NA,2016-04-25 12:48:55,FALSE,NA,"724580953306230784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bryanllamado",1551,TRUE,FALSE,NA,NA
"12","RT @alyssa123478: A journalist should be the one who is TELLING the TRUTH, not one who is TWISTING the TRUTH. #PiliPinasDebates2016  #ABSCB…",FALSE,0,NA,2016-04-25 12:48:53,FALSE,NA,"724580943105650688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","poniesandthorns",117,TRUE,FALSE,NA,NA
"13","Binay~ sweet little Binay. you are just... ugh 

#HipokritongNogNog
#PiliPinasDebates2016",FALSE,0,NA,2016-04-25 12:48:47,FALSE,NA,"724580919793741825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IoneeBeruru",0,FALSE,FALSE,NA,NA
"14","RT @MarengMiriam: Kabahan na lahat ng love team! <U+2665> #DuRiam #PiliPinasDebates2016 https://t.co/ss6Mqg6AbD",FALSE,0,NA,2016-04-25 12:48:45,FALSE,NA,"724580910402666496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kmfhern",2777,TRUE,FALSE,NA,NA
